Material,Area [mm^2],Breadth [mm],Height [mm],Wall thickness [mm],I_xx [mm^4],I_yy [mm^4],Buckling load [kN],Squash load [kN],Strain,Embodied energy [MJ],Cost [$],Embodied energy cost [$],Total cost [$]
CFRP (Carbon fibre reinforced polymer),1820.0000000000005,23.0,88.0,10.000000000000002,1227546.666666667,89071.66666666666,24.065420352838476,1456.0000000000005,0.00012042751768779163,2688.4130000000005,238.65660000000003,234.48935611111114,473.14595611111116
Wrought magnesium alloys,2496.0,30.0,98.0,12.0,2150368.0,219168.0,24.064503713329728,655.2,0.000216076058772688,2660.8608,30.225312,232.08619199999998,262.31150399999996
Age-hardening wrought aluminium alloys,2068.0,26.0,90.0,11.0,1474689.3333333328,131457.33333333334,24.00248969900955,728.97,0.00015682994406398664,2328.3612,26.577935999999998,203.084838,229.66277399999998
High carbon steel,1584.0,18.0,97.0,8.0,1280436.0,47088.0,24.10838397449697,1235.52,7.301935012778386e-05,662.75352,14.672592,57.8068348,72.4794268
Cast iron (ductile),1632.0,19.000000000000004,99.0,8.0,1393360.0,56400.00000000002,24.005345304549603,758.88,8.525149190110827e-05,466.75199999999995,14.235935999999999,40.71114666666666,54.94708266666666
Low carbon (mild) steel,1584.0,18.0,97.0,8.0,1280436.0,47088.0,24.10838397449697,510.8399999999999,7.301935012778386e-05,655.29288,14.672592,57.156101199999995,71.82869319999999
Titanium alloys,1800.0000000000002,22.0,96.0,9.0,1463831.9999999998,84768.00000000001,24.053015493806864,1755.0000000000002,0.00011594202898550724,11351.880000000001,414.00000000000006,990.1362,1404.1362000000001
