Material,Area [mm^2],Breadth [mm],Height [mm],Web thickness [mm],Flange thickness [mm],I_xx [mm^4],I_yy [mm^4],Buckling load [kN],Squash load [kN],Strain,Embodied energy [MJ],Cost [$],Embodied energy cost [$],Total cost [$]
CFRP (Carbon fibre reinforced polymer),2023.0000000000002,28.0,91.0,7.0,33.0,1730988.5833333328,121450.58333333334,32.81356967251957,1618.4,0.00010834309549766723,2988.27445,265.27599,260.64393813888887,525.9199281388888
Wrought magnesium alloys,2939.0000000000005,30.0,97.0,1.0,49.0,2281684.9166666665,220499.9166666667,24.210747296201525,771.4875,0.00018350658138708035,3133.12095,35.589820499999995,273.27777175,308.86759225
Age-hardening wrought aluminium alloys,2339.0,29.0,99.0,1.0,40.0,2328884.916666667,162594.91666666666,29.68782884486969,824.4975,0.00013865939475174192,2633.4801,30.060827999999997,229.69798649999998,259.75881449999997
High carbon steel,1763.0000000000005,18.0,97.0,1.0,49.0,1369010.9166666667,47627.91666666667,24.384813602305126,1375.1400000000006,6.560558740919433e-05,737.6480150000002,16.330669000000004,64.33929908611113,80.66996808611113
Cast iron (ductile),1698.0000000000002,29.0,99.0,6.0,24.0,2090641.4999999998,98474.0,41.91316265106767,789.57,8.193782967173657e-05,485.628,14.811654,42.35755333333333,57.16920733333333
Low carbon (mild) steel,1763.0000000000005,18.0,97.0,1.0,49.0,1369010.9166666667,47627.91666666667,24.384813602305126,568.5675000000001,6.560558740919433e-05,729.3442850000002,16.330669000000004,63.61502930277779,79.9456983027778
Titanium alloys,2111.0,29.0,97.0,3.0,35.0,2162979.9166666665,142329.91666666666,40.38627419327543,2058.225,9.886103845282473e-05,13313.2326,485.53,1161.2097323333332,1646.7397323333332
